tid,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
7JrSIPcfkWhDzxWII8Jz7V,0.32,0.256,10,-17.98,1,0.0445,0.64,0.862,0.112,0.191,115.011,0
62X7ld1sa8RHl4zRtSvfHf,0.558,0.249,7,-14.715,1,0.0303,0.985,0.925,0.103,0.111,94.991,0
06G5MnuMA3cLbNwjFs8zIS,0.2,0.138,0,-20.417,1,0.0301,0.896,0.929,0.207,0.138,71.631,0
51c5Wbzs0fPu6mwpDn3bsQ,0.456,0.0195,9,-33.594,1,0.04,0.982,0.924,0.106,0.269,126.086,0
5AciiCKJKTLKRrAPSrKQy5,0.529,0.214,6,-19.268,1,0.0315,0.8,0.907,0.109,0.0903,124.069,0
6mgKP4yo57GTSMc3fJlyWm,0.283,0.122,9,-23.074,1,0.0285,0.993,0.905,0.0927,0.112,83.746,0
4iNlPrMJCvBjakWljscabH,0.297,0.209,2,-12.715,1,0.035,0.957,0.907,0.134,0.0867,141.603,0
0W4RUo3m0jL0wHADS0PLme,0.41,0.0845,4,-21.814,1,0.0327,0.988,0.93,0.109,0.0795,92.033,0
6Xgupx0XndCMdA09Nl46wF,0.521,0.322,2,-14.505,1,0.0355,0.483,0.904,0.108,0.148,140.059,0
6WdO6Ds95sLALCqCOfbDQh,0.535,0.147,2,-25.141,1,0.0382,0.867,0.797,0.0825,0.238,126.823,0
3IOXceWmoCrTyl5TXFDzWu,0.32,0.253,10,-17.843,0,0.0356,0.881,0.935,0.121,0.125,140.029,0
3jP962JoLAn9p4wCDdx4My,0.305,0.229,1,-18.329,0,0.0334,0.933,0.904,0.104,0.0562,121.599,0
3FoVLAXDlxCrGXZD6ppT85,0.434,0.112,6,-29.82,1,0.036,0.949,0.922,0.0946,0.104,112.001,0
1uu52K2fxY7Hl4LQ8AtTyY,0.56,0.0853,5,-15.918,1,0.0324,0.984,0.918,0.108,0.113,96.646,0
11oVQ68B4PnVQHIY6svpXg,0.221,0.183,6,-17.59,1,0.0362,0.958,0.821,0.102,0.057,117.321,0
56ag77KIUFvxJhA1gdObsq,0.526,0.471,0,-11.965,1,0.0424,0.64,0.817,0.096,0.286,119.972,0
3McFNMvwAOUOCM83wyTpUr,0.477,0.37,4,-12.394,1,0.0315,0.689,0.799,0.0977,0.638,179.707,0
3L0fPX8biELkH57fF3Exkd,0.256,0.456,4,-10.865,1,0.0306,0.367,0.881,0.119,0.0682,70.357,0
3WEdWvAScE1EcBfErseQnC,0.43,0.256,2,-22.088,1,0.0641,0.985,0.867,0.106,0.173,133.955,0
5vUaPsEVEsmv5J11CTgjBA,0.409,0.212,5,-17.016,0,0.0368,0.988,0.903,0.0966,0.135,183.837,0
0CgRVRJbaVu2DKSbatJeln,0.521,0.121,3,-19.652,0,0.0378,0.828,0.876,0.116,0.19,100.013,0
2TFQPFUqRtgj1auq9b5PlR,0.351,0.24,9,-15.363,1,0.034,0.93,0.904,0.101,0.0968,79.919,0
1c6aKOdOoR1TFqn0JTyc4R,0.216,0.195,8,-14.026,1,0.0382,0.792,0.93,0.102,0.14,61.555,0
100jBpD7nuiMriR7ErXQ9S,0.501,0.378,6,-14.959,1,0.0269,0.922,0.825,0.115,0.193,108.034,0
1hPEjphQtd9xBOLL4v1VYn,0.551,0.214,11,-17.887,0,0.0339,0.945,0.913,0.112,0.0471,140.033,0
5sIYyLglAXMRVkhi5IxAwP,0.403,0.44,1,-12.954,1,0.0284,0.702,0.927,0.556,0.111,176.043,0
7lSHfDPdyGdRyG234h5ToK,0.464,0.38,7,-8.052,1,0.0279,0.0665,0.898,0.114,0.0558,100.006,0
3mMd2MGvEIDAfMfvcb9wsC,0.416,0.11,11,-13.776,1,0.0423,0.882,0.873,0.116,0.347,120.024,0
08Q4GyxnB8ak1ZwHnjwova,0.542,0.189,0,-16.57,1,0.0398,0.935,0.91,0.0932,0.0755,116.0,0
02NddgoemFd0ImJLtl2SAy,0.208,0.16,7,-17.301,1,0.0344,0.871,0.85,0.103,0.0391,86.039,0
2sAg6ll1Vd1BxR8YD0lkRg,0.408,0.135,3,-23.106,1,0.0295,0.958,0.902,0.0982,0.0379,81.975,0
24CJS73HBvYtVguUZBnyAn,0.491,0.197,4,-19.261,1,0.0298,0.97,0.916,0.214,0.216,132.106,0
